area,state,ratecenter,numbers
215415,PA,PHLDLPHZN1,16
215505,PA,PHLDLPHZN1,11
215506,PA,PHLDLPHZN1,56
215507,PA,PHLDLPHZN1,1
215522,PA,PHPHSBZN38,5
215524,PA,PHLDLPHZN1,12
215577,PA,PHLDLPHZN2,219
215691,PA,PHLDLPHZN1,14
215705,PA,PHLDLPHZN4,6
215719,PA,PHLDLPHZN1,17
215759,PA,DOYLESTOWN,3
215810,PA,PHLDLPHZN2,2
215812,PA,PHLDLPHZN1,417
215818,PA,PHPHSBZN40,182
215819,PA,PHLDLPHZN1,102
215838,PA,PHLDLPHZN1,6
215865,PA,PHLDLPHZN1,106
215889,PA,PHPHSBZN42,28
215894,PA,PHLDLPHZN2,218
215899,PA,PHLDLPHZN2,31
215905,PA,PHLDLPHZN1,8
215916,PA,PHLDLPHZN1,1
215998,PA,PHLDLPHZN1,12
216207,OH,CLEVELAND,7783
216275,OH,INDEPNDNCE,30
216388,OH,CLEVELAND,216
216437,OH,CLEVELAND,12
216517,OH,CLEVELAND,21
216552,OH,CLEVELAND,26
216557,OH,CLEVELAND,3
216568,OH,CLEVELAND,6
216590,OH,TERRACE,5
216596,OH,CLEVELAND,25
216597,OH,CLEVELAND,5
216648,OH,CLEVELAND,2
216690,OH,TERRACE,52
216705,OH,CLEVELAND,139
216728,OH,CLEVELAND,12
216768,OH,CLEVELAND,14
216790,OH,CLEVELAND,110
216806,OH,CLEVELAND,5
216807,OH,CLEVELAND,1
216817,OH,CLEVELAND,5
216818,OH,CLEVELAND,39
216819,OH,CLEVELAND,50
216840,OH,CLEVELAND,3
216850,OH,CLEVELAND,131
216880,OH,TERRACE,230
216890,OH,CLEVELAND,7
216982,OH,CLEVELAND,7
219717,IN,MERRILLVL,52
219770,IN,CROWNPOINT,23
225212,LA,BATONROUGE,117
225233,LA,BATONROUGE,10
225322,LA,BATONROUGE,46
225352,LA,BATONROUGE,7
225373,LA,BATONROUGE,4
225660,LA,BATONROUGE,349
225909,LA,BATONROUGE,6
225934,LA,BATONROUGE,91
225951,LA,BATONROUGE,20
225979,LA,BATONROUGE,8
228208,MS,BILOXI,60
228210,MS,PASCAGOULA,3
228516,MS,GULFPORT,1
228808,MS,GULFPORT,2
228850,MS,GULFPORT,6
228851,MS,GULFPORT,1
228880,MS,GULFPORT,4
228883,MS,GULFPORT,1
231204,MI,FIFE LAKE,3
231214,MI,LE ROY,2
231255,MI,ONEKAMA,153
231315,MI,MUSKEGON,6
231317,MI,BOYNE CITY,322
231318,MI,TRAVERSECY,2950
231336,MI,LUDINGTON,2
231593,MI,CADILLAC,330
231596,MI,HARBOR SPG,3
231604,MI,KALKASKA,11
231605,MI,NEWAYGO,1
231606,MI,BIG RAPIDS,4
231608,MI,FRANKFORT,10
231704,MI,FREESOIL,1
248261,MI,PONTIAC,4
248272,MI,PONTIAC,131
248316,MI,ROYAL OAK,1
248317,MI,ROYAL OAK,1
248337,MI,SOUTHFIELD,3
248401,MI,ROYAL OAK,2
248405,MI,ROYAL OAK,2
248578,MI,NORTHVILLE,6
248580,MI,PONTIAC,2
248604,MI,SOUTHFIELD,13
248610,MI,PONTIAC,8
248868,MI,SOUTHFIELD,4
248908,MI,PONTIAC,3
248966,MI,SOUTHFIELD,5
251352,AL,MOBILE,31
251371,AL,MOBILE,3
251417,AL,MOBILE,1
251568,AL,MOBILE,82
251582,AL,MOBILE,633
251617,AL,MOBILE,1
251698,AL,MOBILE,1
252282,NC,KINSTON,16
252383,NC,GREENVILLE,97
252434,NC,HENDERSON,10
252487,NC,ROCKYMOUNT,59
252488,NC,ROANOKERPD,5
252498,NC,WILSON,56
253233,WA,TACOMA,43
253291,WA,TACOMA,465
253309,WA,TACOMA,20
253415,WA,TACOMA,138
253416,WA,TACOMA,340
253687,WA,TACOMA,21
253903,WA,TACOMA,28
254225,TX,WACO,5
254762,TX,TEMPLE,2629
254808,TX,WACO,29
256209,AL,GADSDEN,2
256219,AL,HUNTSVILLE,23
256271,AL,HUNTSVILLE,1
256416,AL,DECATUR,1
256433,AL,HUNTSVILLE,3
256707,AL,HUNTSVILLE,54
256720,AL,HUNTSVILLE,136
256855,AL,HUNTSVILLE,5
256920,AL,HUNTSVILLE,8
260401,IN,FORT WAYNE,538
260430,IN,FORT WAYNE,71
260698,IN,FORT WAYNE,2
262231,WI,LAKEGENEVA,257
262319,WI,PTWASHIGTN,207
262322,WI,LAKEGENEVA,13
262428,WI,WEST BEND,700
262451,WI,WAUKESHA,885
269212,MI,KALAMAZOO,205
269239,MI,MIDDLEVL,2
269306,MI,THREERIVRS,79
269407,MI,NILES,1
269410,MI,BATTLE CRK,337
269413,MI,KALAMAZOO,52
269577,MI,KALAMAZOO,4
269658,MI,BENTON HBR,48
269803,MI,ALLEGAN,67
269905,MI,BATTLE CRK,60
270742,KY,PADUCAH,23
281266,TX,HOUSTON,112
281267,TX,HOUSTON,55
281268,TX,HOUSTON,23
281270,TX,HOUSTON,1
281349,TX,HSTNSUBURB,297
281418,TX,HOUSTON,4
281439,TX,HOUSTON,72
281472,TX,HOUSTON,7
281473,TX,HOUSTON,1
281510,TX,HOUSTON,3
281527,TX,HOUSTON,96
281551,TX,BAMMEL,200
281613,TX,HOUSTON,3
281621,TX,HOUSTON,36
281625,TX,HOUSTON,2
281629,TX,HOUSTON,1
281718,TX,HOUSTON,3
281722,TX,HOUSTON,1
281735,TX,HOUSTON,392
281952,TX,HOUSTON,2186
281963,TX,HOUSTON,58
281981,TX,HOUSTON,48
301207,MD,WSNG236Z13,1210
301224,MD,WSHNGTNZN2,370
301303,MD,WSNG236Z13,3
301308,MD,WSNG236Z13,1
301406,MD,WSHNGTNZN2,4
301506,MD,WSNG236Z13,4
301510,MD,WSNG236Z13,4
301553,MD,WALDORF,150
301554,MD,WSHNGTNZN2,2
301558,MD,WSNG236Z13,1
302243,DE,WILMINGTON,3
302247,DE,WILMINGTON,88
302431,DE,WILMINGTON,8
302435,DE,WILMINGTON,11
302474,DE,WILMINGTON,7
302637,DE,WILMINGTON,4
303201,CO,DENVER,1451
303206,CO,DENVER,330
303207,CO,DENVER,92
303208,CO,DENVER,284
303213,CO,DENVER,2
303230,CO,DENVER,11
303240,CO,DENVER,2
303251,CO,DENVER,6
303266,CO,DENVER,4787
303461,CO,DENVER,84
303490,CO,DENVER,3
303540,CO,DENVER,52
303553,CO,DENVER,7
303560,CO,DENVER,1
303599,CO,DENVER,4
303609,CO,DENVER,11
303610,CO,DENVER,22
303612,CO,DENVER,5
303613,CO,DENVER,8
303686,CO,DENVER,4
303687,CO,DENVER,31
303760,CO,DENVER,67
303821,CO,DENVER,14
303826,CO,DENVER,85
303851,CO,DENVER,79
303852,CO,DENVER,41
303855,CO,DENVER,77
303878,CO,DENVER,1
303879,CO,DENVER,5
303890,CO,DENVER,84
303891,CO,DENVER,62
303897,CO,DENVER,492
305208,FL,MIAMI,60
305212,FL,MIAMI,3505
305272,FL,MIAMI,74
305276,FL,MIAMI,229
305277,FL,MIAMI,2180
305287,FL,MIAMI,74
305288,FL,MIAMI,8
305291,FL,MIAMI,61
305312,FL,MIAMI,56
305313,FL,MIAMI,2
305314,FL,MIAMI,10
305315,FL,MIAMI,1
305352,FL,MIAMI,469
305353,FL,MIAMI,7
305366,FL,MIAMI,32
305368,FL,MIAMI,7
305369,FL,MIAMI,2
305483,FL,MIAMI,141
305540,FL,MIAMI,1
305543,FL,MIAMI,11
305544,FL,MIAMI,6
305583,FL,MIAMI,4
305601,FL,MIAMI,72
305641,FL,MIAMI,17
305729,FL,MIAMI,16
305730,FL,MIAMI,17
305732,FL,MIAMI,77
305734,FL,MIAMI,9
305736,FL,MIAMI,20
305737,FL,MIAMI,10
305738,FL,MIAMI,24
305750,FL,MIAMI,445
305806,FL,MIAMI,8
305837,FL,MIAMI,22
305838,FL,MIAMI,6
305839,FL,MIAMI,4
305840,FL,MIAMI,1
305841,FL,MIAMI,22
305843,FL,MIAMI,2
305844,FL,MIAMI,8
305855,FL,MIAMI,342
305862,FL,MIAMI,1
305880,FL,MIAMI,41
305881,FL,MIAMI,109
305886,FL,MIAMI,8
305955,FL,MIAMI,2
305966,FL,MIAMI,11
305996,FL,MIAMI,35
305997,FL,MIAMI,3
309646,IL,PEORIA,174
310232,CA,SNMN SNMN,149
310236,CA,SNMN SNMN,233
310238,CA,SNMN SNMN,6
310239,CA,SNMN SNMN,17
310240,CA,CMTN GRDN,21
310249,CA,CMTN GRDN,66
310250,CA,CMTN GRDN,10
310262,CA,SNMN SNMN,9
310298,CA,CMTN GRDN,42
310368,CA,CMTN GRDN,4
310501,CA,CMTN CMTN,2635
310509,CA,CMTN CMTN,7
310585,CA,SNMN SNMN,3
310588,CA,SNMN SNMN,37
310685,CA,CMTN GRDN,41
310716,CA,CMTN GRDN,5
310718,CA,CMTN GRDN,9
310723,CA,CMTN GRDN,451
310731,CA,CMTN CMTN,4
310790,CA,SNMN SNMN,1
310805,CA,CMTN GRDN,3
310875,CA,SNMN SNMN,4
310932,CA,LAKEWOOD,2
310960,CA,CMTN GRDN,14
310992,CA,SNMN SNMN,9
312249,IL,CHICGOZN01,3458
312250,IL,CHICGOZN01,8710
312271,IL,CHICGOZN01,3251
312272,IL,CHICGOZN01,80
312289,IL,CHICGOZN01,2
312290,IL,CHICGOZN01,31
312295,IL,LA GRANGE,182
312299,IL,CHICGOZN01,11
312349,IL,CHICGOZN01,518
312359,IL,CHICGOZN01,9
312365,IL,CHICGOZN01,7
312367,IL,LA GRANGE,3
312370,IL,CHICGOZN01,806
312378,IL,CHICGOZN01,1
312387,IL,CHICGOZN01,14
312389,IL,CHICGOZN01,297
312398,IL,CHICGOZN01,97
312418,IL,CHICGOZN01,3
312426,IL,CHICGOZN01,1
312484,IL,CHICGOZN01,38
312490,IL,CHICGOZN01,6
312495,IL,CHICGOZN01,3
312512,IL,CHICGOZN01,2
312562,IL,CHICGOZN01,2
312571,IL,CHICGOZN01,4
312657,IL,CHICGOZN01,31
312677,IL,CHICGOZN01,4
312688,IL,CHICGOZN01,3
312717,IL,LA GRANGE,1
312748,IL,CHICGOZN01,1
312830,IL,CHICGOZN01,1
312851,IL,CHICGOZN01,75
312891,IL,CHICGOZN01,1
312901,IL,CHICGOZN01,91
312910,IL,CHICGOZN01,1
312941,IL,CHICGOZN01,2
312963,IL,CHICGOZN01,2
313210,MI,DETROITZN5,1
313219,MI,DETROITZN5,23
313238,MI,DETROITZN5,1
313239,MI,DETROITZN5,4
313250,MI,DETROITZN5,146
313276,MI,DETROITZN5,13
313280,MI,DETROITZN1,424
313321,MI,DETROITZN5,16
313328,MI,DETROITZN5,6
313376,MI,DETROITZN5,1
313440,MI,DETROITZN5,94
313630,MI,DETROITZN5,1
313767,MI,DETROITZN6,1
313940,MI,DETROITZN5,15
313958,MI,DETROITZN5,1
313984,MI,DETROITZN5,1
314204,MO,ST LOUIS,1
314245,MO,ST LOUIS,27
314318,MO,ST LOUIS,34
314404,MO,LADUE,2
314430,MO,ST LOUIS,4
314460,MO,ST LOUIS,37
314507,MO,LADUE,211
314751,MO,ST LOUIS,2
314870,MO,LADUE,3
314902,MO,ST LOUIS,43
314903,MO,ST LOUIS,19
314905,MO,ST LOUIS,124
314908,MO,ST LOUIS,1553
314927,MO,ST LOUIS,30
314929,MO,ST LOUIS,2
314945,MO,ST LOUIS,10
314981,MO,LADUE,2
314990,MO,ST LOUIS,8
314999,MO,ST LOUIS,123
315213,NY,AUBURN,1171
315241,NY,SYRACUSE,50
315242,NY,SYRACUSE,3
315248,NY,AUBURN,7
315249,NY,SYRACUSE,75
315340,NY,GENEVA,8
315419,NY,SYRACUSE,3
315441,NY,SYRACUSE,1072
315467,NY,SYRACUSE,403
315647,NY,SYRACUSE,2
315722,NY,UTICA,287
316577,KS,WICHITA,23
316695,KS,WICHITA,5
316969,KS,WICHITA,1
317206,IN,INDIANAPLS,1
317256,IN,INDIANAPLS,104
317303,IN,INDIANAPLS,7
317307,IN,INDIANAPLS,6
317309,IN,INDIANAPLS,32
317314,IN,INDIANAPLS,1
317320,IN,INDIANAPLS,5
317330,IN,INDIANAPLS,4
317380,IN,INDIANAPLS,1
317382,IN,INDIANAPLS,6
317391,IN,INDIANAPLS,3
317393,IN,INDIANAPLS,2
317394,IN,INDIANAPLS,5
317424,IN,INDIANAPLS,14
317425,IN,INDIANAPLS,12
317461,IN,INDIANAPLS,67
317725,IN,INDIANAPLS,7
317906,IN,INDIANAPLS,24
317907,IN,INDIANAPLS,2
317949,IN,INDIANAPLS,7
317980,IN,INDIANAPLS,1
317990,IN,INDIANAPLS,1
318241,LA,SHREVEPORT,23
318276,LA,MONROE,310
318630,LA,SHREVEPORT,4
318689,LA,SHREVEPORT,16
321227,FL,COCOA,45
321232,FL,COCOA,433
321630,FL,COCOA,3
321680,FL,COCOA,1
323288,CA,LSAN DA 03,548
323322,CA,LSAN DA 11,321
323355,CA,LSAN DA 03,378
323367,CA,LSAN DA 03,657
323414,CA,LSAN DA 03,32
323502,CA,LSAN DA 09,730
323858,CA,LSAN DA 03,340
330213,OH,AKRON,1
330214,OH,CANTON,4
330218,OH,CANTON,4
330250,OH,AKRON,3390
330254,OH,WARREN,219
330291,OH,AKRON,2
330292,OH,CANTON,1
330320,OH,CANTON,571
330380,OH,YOUNGSTOWN,37
330381,OH,LISBON,53
330404,OH,YOUNGSTOWN,1
330444,OH,SALEM,31
330613,OH,YOUNGSTOWN,128
330640,OH,YOUNGSTOWN,101
330709,OH,CANTON,16
330710,OH,AKRON,2
330712,OH,HARTVILLE,9
330713,OH,AKRON,9
330820,OH,YOUNGSTOWN,11
330901,OH,ALLIANCE,141
330902,OH,MASSILLON,2
330912,OH,KENT,234
330914,OH,AKRON,415
330919,OH,CANTON,1
330955,OH,CANTON,3
330981,OH,AKRON,179
334236,AL,MONTGOMERY,2
334317,AL,MONTGOMERY,3
334486,AL,MONTGOMERY,1
334506,AL,MONTGOMERY,4
334516,AL,MONTGOMERY,34
334519,AL,MONTGOMERY,200
334570,AL,MONTGOMERY,5
334571,AL,MONTGOMERY,18
334719,AL,DOTHAN,229
334761,AL,DOTHAN,13
336205,NC,REIDSVILLE,126
336208,NC,WINSTN SAL,6
336216,NC,ASHEBORO,83
336319,NC,GREENSBORO,1600
336321,NC,GREENSBORO,4
336507,NC,GREENSBORO,2
336556,NC,GREENSBORO,8
336557,NC,BURLINGTON,3
336729,NC,WINSTN SAL,2
336913,NC,GREENSBORO,20
337219,LA,LK CHARLES,47
337271,LA,LAFAYETTE,64
337293,LA,LAFAYETTE,18
337297,LA,LAFAYETTE,2
337299,LA,LAFAYETTE,183
337341,LA,LAFAYETTE,2
337498,LA,LK CHARLES,1
337596,LA,LK CHARLES,68
337733,LA,LAFAYETTE,2
352252,FL,GAINESVL,32
352506,FL,OCALA,177
360290,WA,OLYMPIA,14
360408,WA,VANCOUVER,1346
360439,WA,LONGVIEW,2
360781,WA,SILVERDALE,153
360806,WA,VANCOUVER,19
360971,WA,OLYMPIA,201
361224,TX,C CHRISTI,652
361234,TX,BEEVILLE,16
361270,TX,C CHRISTI,3
361410,TX,VICTORIA,433
361435,TX,ALICE,50
361634,TX,KINGSVILLE,42
361744,TX,C CHRISTI,25
361745,TX,C CHRISTI,36
386250,FL,DAYTONABCH,3
386691,FL,DAYTONABCH,1
386820,FL,DAYTONABCH,20
386831,FL,DAYTONABCH,150
401221,RI,PROVIDENCE,458
401925,RI,PROVIDENCE,147
401933,RI,PROVIDENCE,3
401938,RI,PROVIDENCE,3
402299,NE,OMAHA,7
404336,GA,ATLANTA,33
404356,GA,ATLANTA,513
404359,GA,ATLANTA,12
404485,GA,ATLANTA,2
404628,GA,ATLANTA,5
404646,GA,ATLANTA,3
404672,GA,ATLANTA,5
404674,GA,ATLANTA,8
404701,GA,ATLANTA,79
404708,GA,ATLANTA,47
404722,GA,ATLANTA,14
405304,OK,OKLA CITY,29
405327,OK,OKLA CITY,354
405502,OK,OKLA CITY,99
405559,OK,OKLA CITY,970
405575,OK,OKLA CITY,81
405647,OK,OKLA CITY,127
405660,OK,OKLA CITY,70
405690,OK,OKLA CITY,69
405770,OK,OKLA CITY,77
405904,OK,OKLA CITY,8
405908,OK,OKLA CITY,2
405961,OK,OKLA CITY,39
405978,OK,OKLA CITY,0
405980,OK,OKLA CITY,2
407220,FL,ORLANDO,1
407231,FL,ORLANDO,2063
407372,FL,ORLANDO,3
407400,FL,ORLANDO,3
407441,FL,ORLANDO,15
407524,FL,ORLANDO,1
407525,FL,ORLANDO,2
407526,FL,ORLANDO,2
407527,FL,ORLANDO,2
407570,FL,ORLANDO,1
407651,FL,ORLANDO,54
407763,FL,ORLANDO,2
407769,FL,ORLANDO,5
407899,FL,ORLANDO,5
407918,FL,ORLANDO,4
407945,FL,ORLANDO,17
408231,CA,SNJS WEST,146
408233,CA,SNJS WEST,330
408237,CA,SNJS WEST,93
408301,CA,SNJS WEST,19
408305,CA,SNJS WEST,6
408308,CA,SNJS WEST,4
408322,CA,SNJS WEST,24
408388,CA,SNJS WEST,7
408397,CA,SNJS WEST,12
408407,CA,SNJS WEST,63
408485,CA,SNJS WEST,31
408488,CA,SNJS WEST,7
408552,CA,SNJS WEST,11
408581,CA,SNJS WEST,1
408619,CA,SNJS WEST,9
408631,CA,SNJS WEST,5
408787,CA,SNJS WEST,5
408788,CA,SNJS WEST,9
408798,CA,SNJS WEST,5
408814,CA,SNJS WEST,8
408815,CA,SNJS WEST,4
408820,CA,SNJS WEST,2045
408860,CA,SNJS WEST,2
408870,CA,SNJS WEST,2
408932,CA,SNJS WEST,4
408939,CA,SNJS WEST,12
408948,CA,SNJS WEST,3
408949,CA,SNJS WEST,11
408951,CA,SNJS WEST,14
409353,TX,BEAUMONT,28
409456,TX,BEAUMONT,4
409634,TX,NDLDPTNCHS,7
409671,TX,TXSCYMARQU,17
410232,MD,BALTIMORE,5188
410283,MD,TOWSON,2591
410331,MD,ELKRIDGE,22
410351,MD,BALTIMORE,71
410373,MD,TOWSON,28
410389,MD,BALTIMORE,645
410408,MD,TOWSON,51
410434,MD,TOWSON,339
410445,MD,BALTIMORE,28
410447,MD,COLUMBIA,649
410460,MD,ELKRIDGE,56
410473,MD,TOWSON,61
410475,MD,TOWSON,10
410478,MD,ELKRIDGE,2
410492,MD,TOWSON,9
410607,MD,TOWSON,6
410640,MD,BALTIMORE,51
410678,MD,ELKRIDGE,4
410681,MD,TOWSON,14
410731,MD,ANNAPOLIS,20
410743,MD,BALTIMORE,12
410748,MD,ELLICOTTCY,178
410806,MD,TOWSON,163
410839,MD,TOWSON,10
410890,MD,TOWSON,121
410894,MD,TOWSON,492
410899,MD,TOWSON,28
410909,MD,ELKRIDGE,34
410932,MD,ELKRIDGE,4251
412270,PA,PTGSBNZN14,3822
412272,PA,PTGSBNZN14,6
412280,PA,PTTSBGZON1,219
412300,PA,PTGSBNZN14,4
412581,PA,PTTSBGZON1,41
412590,PA,PTTSBGZON2,24
412591,PA,PTTSBGZON2,5
412597,PA,PTGSBNZN14,76
412602,PA,PTTSBGZON6,2339
412617,PA,PTGSBNZN14,48
412619,PA,PTGSBNZN14,1
412640,PA,PTGSBNZN14,7
412649,PA,PTGSBNZN14,27
412669,PA,PTTSBGZON6,74
412686,PA,PTGSBNZN14,3
412698,PA,PTTSBGZON1,6
412718,PA,PTTSBGZON2,2981
412739,PA,PTTSBGZON2,2
412750,PA,PTTSBGZON1,34
412786,PA,PTTSBGZON2,4
412917,PA,PTTSBGZON7,950
412949,PA,PTTSBGZON7,488
412955,PA,PTTSBGZON2,54
412958,PA,PTTSBGZON7,8393
412970,PA,PTTSBGZON6,31
412978,PA,PTGSBNZN14,6
414201,WI,MILWAUKZN1,43
414205,WI,MILWAUKZN1,366
414222,WI,MILWAUKZN1,7844
414230,WI,MILWAUKZN1,18
414237,WI,MILWAUKZN1,22
414314,WI,MILWAUKZN1,6266
414320,WI,MILWAUKZN1,3
414330,WI,MILWAUKZN1,73
414402,WI,MILWAUKZN1,23
414480,WI,MILWAUKZN5,3
414575,WI,MILWAUKZN1,23
414601,WI,MILWAUKZN1,0
414663,WI,MILWAUKZN1,1
414669,WI,MILWAUKZN1,2
414718,WI,MILWAUKZN1,1
414816,WI,MILWAUKZN1,1
414838,WI,MILWAUKZN1,21
414890,WI,MILWAUKZN1,24
414904,WI,MILWAUKZN1,2
414907,WI,MILWAUKZN1,5829
414941,WI,MILWAUKZN1,306
414981,WI,MILWAUKZN1,10
415207,CA,SNFC CNTRL,30
415208,CA,SNFC CNTRL,4
415210,CA,SNFC CNTRL,16
415219,CA,SNFC CNTRL,6
415220,CA,SNFC CNTRL,205
415224,CA,SNFC CNTRL,18
415245,CA,SNFC CNTRL,6
415253,CA,SNFC CNTRL,109
415270,CA,SNFC CNTRL,2
415280,CA,SNFC CNTRL,36
415303,CA,SNFC CNTRL,19
415313,CA,SNFC CNTRL,8
415443,CA,SNFC JUNPR,7984
415540,CA,SNFC CNTRL,3
415560,CA,SNFC CNTRL,4
415607,CA,SNFC CNTRL,2205
415698,CA,SNFC CNTRL,3
415708,CA,SNFC CNTRL,20
415709,CA,SNFC CNTRL,2
415739,CA,SNFC CNTRL,52
415804,CA,SNFC CNTRL,8
415809,CA,SNFC CNTRL,8
419316,OH,NEW RIEGEL,6
419323,OH,TOLEDO,3
419328,OH,TOLEDO,3
419412,OH,FINDLAY,42
419414,OH,FREMONT,70
